City,Year,PM2.5,PM10,NO2,NH3,CO,SO2,O3,AQI
Ahmedabad,2015,29.52,95.68,14.88,15.85,16.94,8.56,40.65,301.0
Ahmedabad,2015,15.53,95.68,14.85,15.85,17.0,15.13,34.18,301.0
Ahmedabad,2015,57.51,95.68,50.9,15.85,16.31,8.73,15.39,118.0
Ahmedabad,2015,50.24,95.68,12.31,15.85,9.46,11.63,13.61,226.0
Ahmedabad,2015,61.77,95.68,15.43,15.85,8.68,8.1,18.69,276.0
Ahmedabad,2015,46.93,95.68,11.47,15.85,7.14,7.92,19.03,209.0
Ahmedabad,2015,43.01,95.68,9.96,15.85,6.82,11.58,20.59,179.0
Ahmedabad,2015,42.06,95.68,11.35,15.85,8.43,11.63,28.09,197.0
Ahmedabad,2015,44.94,95.68,10.94,15.85,7.14,5.85,59.38,229.0
Ahmedabad,2015,29.58,95.68,9.94,15.85,6.61,8.82,42.9,170.0
Ahmedabad,2015,32.15,95.68,9.7,15.85,6.5,9.2,39.02,164.0
Ahmedabad,2015,36.33,95.68,12.88,15.85,7.68,8.28,43.35,195.0
Ahmedabad,2015,24.46,95.68,10.99,15.85,8.45,12.59,44.55,220.0
Ahmedabad,2015,27.08,95.68,12.25,15.85,9.95,9.51,12.46,118.0
Ahmedabad,2015,59.29,95.68,9.68,15.85,9.21,5.98,7.69,217.0
Ahmedabad,2015,65.32,95.68,9.62,15.85,10.61,3.69,4.74,254.0
Ahmedabad,2015,47.39,95.68,10.48,15.85,9.26,7.72,7.71,241.0
Ahmedabad,2015,43.88,95.68,19.75,15.85,8.69,4.83,11.53,244.0
Ahmedabad,2015,28.35,95.68,13.62,15.85,9.05,7.47,15.95,243.0
Ahmedabad,2015,3.59,95.68,14.17,15.85,11.26,9.6,20.38,244.0
Ahmedabad,2015,3.04,95.68,21.5,15.85,16.31,13.73,30.05,327.0
Ahmedabad,2015,19.14,95.68,30.6,15.85,10.33,10.96,29.36,390.0
Ahmedabad,2015,69.12,95.68,32.41,15.85,8.85,15.63,28.45,231.0
Ahmedabad,2015,76.41,95.68,34.7,15.85,17.96,15.44,31.49,396.0
Ahmedabad,2015,102.49,95.68,37.85,15.85,33.31,27.32,24.85,731.0
Ahmedabad,2015,127.94,95.68,28.38,15.85,11.14,25.59,15.17,466.0
Ahmedabad,2015,87.18,95.68,21.51,15.85,7.83,6.98,23.17,230.0
Ahmedabad,2015,99.73,95.68,30.23,15.85,20.16,32.74,20.91,309.0
Ahmedabad,2015,84.15,95.68,32.1,15.85,15.83,19.37,23.12,519.0
Ahmedabad,2015,92.12,95.68,32.5,15.85,18.21,31.75,29.97,397.0
Ahmedabad,2015,94.02,95.68,36.97,15.85,27.14,24.88,23.51,517.0
